race,age,English,gender,hand,source,country,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance
Caucasian (European),17,1,0,1,Test Website,GB,43,34,30,44,25
Caucasian (European),35,0,1,1,Test Website,PL,47,26,39,27,39
Mixed Race,39,1,0,1,Test Website,DE,34,28,19,39,24
Caucasian (European),18,1,0,1,Other Source,GB,40,25,21,29,27
Mixed Race,29,1,0,1,Other Source,MY,35,33,20,36,27
Mixed Race,15,0,0,1,Test Website,ID,44,27,18,25,12
Mixed Race,15,0,1,1,Test Website,IN,42,27,16,31,14
Caucasian (Indian),16,0,1,1,Test Website,AE,24,33,27,42,15
Caucasian (European),20,0,0,1,Test Website,LT,47,27,34,50,32
Caucasian (Indian),19,0,1,1,Test Website,PK,26,13,12,12,27
Caucasian (European),42,1,0,0,Test Website,GB,37,29,32,45,14
Mixed Race,19,0,1,1,Google,MY,35,29,23,34,30
North East Asian,18,0,0,1,Google,BT,31,38,26,23,15
Mixed Race,17,0,1,1,Google,ID,37,38,18,30,36
Caucasian (European),15,0,0,0,Test Website,DE,45,24,20,34,15
Caucasian (European),42,0,0,1,Test Website,DK,47,34,38,48,49
Caucasian (European),25,1,0,1,Test Website,US,37,25,25,41,14
Mixed Race,15,1,1,1,Other Source,CA,27,25,17,32,28
Caucasian (Indian),17,0,0,1,Test Website,IN,36,29,29,40,12
Caucasian (Indian),16,0,0,1,Test Website,IN,37,12,42,43,13
Mixed Race,26,0,1,0,Test Website,AR,45,46,38,35,27
Caucasian (European),19,0,3,1,Other Source,RO,37,30,12,28,32
Caucasian (European),37,0,0,1,Test Website,RS,40,40,25,35,28
Caucasian (Indian),24,0,1,1,Test Website,IN,36,37,30,36,25
Mixed Race,19,0,0,1,Other Source,PH,36,29,32,40,38
Mixed Race,36,1,1,1,Test Website,US,47,30,14,46,33
Caucasian (Indian),16,0,1,1,Test Website,IN,34,28,30,37,23
Caucasian (Indian),24,0,1,1,Test Website,IN,39,42,30,34,33
Mixed Race2,26,1,0,1,Test Website,GH,36,44,43,35,29
Mixed Race,20,1,1,1,Test Website,PH,44,30,28,48,27
Caucasian (European),38,0,0,1,Test Website,NL,30,29,21,32,23
Caucasian (North African),15,1,0,0,Test Website,US,48,38,12,33,27
Caucasian (European),17,0,0,1,Test Website,DK,42,29,28,31,27
Caucasian (Indian),22,0,1,1,Test Website,AU,40,35,22,44,22
Indigenous,20,1,0,1,Test Website,MU,43,43,40,44,32
Mixed Race,27,1,0,1,Other Source,KE,38,36,23,46,40
Mixed Race,42,0,0,1,Test Website,PH,37,39,29,41,26
Caucasian (European),25,1,0,0,Google,GB,43,47,29,44,30
Caucasian (European),39,1,0,1,Test Website,US,41,42,43,42,30
Caucasian (Indian),23,0,1,1,Other Source,IN,36,36,32,26,30
Mixed Race,14,0,0,1,Test Website,PH,25,23,12,32,11
Mixed Race,21,0,0,1,Test Website,GB,34,29,45,35,38
Caucasian (European),43,1,0,1,Test Website,US,49,36,23,36,25
Caucasian (European),20,0,0,1,Test Website,BR,22,28,10,29,17
Caucasian (European),19,0,0,1,Test Website,HR,36,31,13,31,18
Caucasian (European),29,1,0,1,Test Website,GB,37,25,42,39,22
Caucasian (European),23,1,0,1,Test Website,GB,50,50,42,47,32
Caucasian (European),13,1,1,0,Test Website,GB,44,34,12,46,43
Mixed Race,17,1,0,1,Test Website,GB,33,24,40,41,20
Mixed Race,21,0,0,1,Test Website,PH,36,24,29,34,36
Caucasian (European),35,1,1,1,Test Website,US,42,43,38,43,37
Caucasian (European),29,1,0,1,Test Website,US,45,38,48,44,22
Native American,13,1,1,1,Other Source,US,40,36,36,41,43
Mixed Race,13,1,0,1,Other Source,US,26,40,31,40,39
Native American,13,1,1,1,Other Source,US,31,38,15,30,46
Mixed Race,13,1,1,1,Other Source,US,47,35,19,36,21
Caucasian (European),13,1,0,1,Other Source,US,29,32,33,33,31
Mixed Race,13,1,0,1,Other Source,US,36,44,36,42,23
Mixed RaceNo Response,13,0,1,1,Other Source,US,45,36,46,40,32
Caucasian (European),13,1,1,1,Other Source,US,33,36,42,36,44
North East Asian,13,1,0,1,Other Source,US,36,37,41,40,40
Caucasian (European),13,1,1,1,Other Source,US,32,19,40,32,28
Caucasian (European),13,1,0,1,Other Source,US,17,20,43,40,23
Caucasian (European),14,1,1,1,Other Source,US,37,26,37,40,41
Caucasian (European),13,1,0,1,Other Source,US,32,40,27,37,34
Caucasian (Middle East),13,1,1,1,Other Source,US,22,29,39,23,34
Mixed Race,13,1,0,1,Other Source,US,30,34,37,35,18
2,14,1,1,0,Other Source,US,30,30,34,30,38
Mixed Race,13,1,1,1,Other Source,US,50,50,48,46,46
Mixed Race,13,1,1,1,Other Source,US,32,30,49,30,45
Caucasian (Middle East),13,1,1,1,Other Source,US,36,44,46,44,30
Mixed Race,14,1,0,1,Other Source,US,28,28,25,38,32
Caucasian (Middle East),13,1,0,1,Other Source,US,46,46,44,42,48
Caucasian (European),13,1,1,1,Other Source,US,22,36,14,29,23
Mixed Race,13,1,0,1,Other Source,US,31,21,49,40,44
Caucasian (Indian),14,1,1,1,Other Source,US,38,34,40,36,23
Mixed Race,25,0,1,1,Google,SG,45,40,20,20,31
Mixed Race,13,1,0,1,Other Source,US,33,39,39,38,34
Mixed Race,13,1,1,1,Other Source,US,50,50,50,50,46
Mixed Race,24,0,0,1,Test Website,PK,50,38,30,38,14
Caucasian (European),42,0,0,1,Other Source,HR,40,33,26,40,33
Caucasian (European),33,0,1,0,Test Website,SE,48,41,45,49,48
Caucasian (North African),20,1,0,1,Other Source,(nu,40,41,25,45,32
Caucasian (European),41,1,0,1,Google,US,46,45,35,50,47
Caucasian (European),26,1,0,1,Test Website,US,45,25,46,45,33
Mixed Race,17,1,1,1,Other Source,US,34,25,37,33,22
Caucasian (European),38,1,0,0,Test Website,US,42,30,39,37,37
Caucasian (European),17,1,1,2,Test Website,US,35,29,42,37,45
Mixed Race,35,1,0,1,Google,US,37,46,21,43,35
Mixed Race,21,1,1,1,Test Website,AU,24,39,18,23,37
Mixed Race,21,0,1,1,Test Website,IN,31,35,28,30,29
Caucasian (European),27,1,0,1,Test Website,US,44,23,45,45,31
Mixed Race,17,1,0,1,Test Website,US,42,37,14,38,24
Mixed Race,28,1,0,1,Google,US,48,30,48,47,23
