race,age,English,gender,hand,source,country,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance
Caucasian (European),51,1,1,1,Other Source,US,28,37,20,30,18
Mixed Race,20,0,1,1,Test Website,PK,38,31,38,44,32
Caucasian (European),43,1,1,1,Other Source,US,45,36,43,40,23
Caucasian (European),25,1,1,1,Other Source,US,44,42,16,43,28
Caucasian (European),28,1,1,1,Test Website,US,47,26,31,36,12
Mixed Race,13,1,0,1,Test Website,US,40,45,21,37,24
Caucasian (European),49,1,0,1,Test Website,NZ,48,48,28,43,22
Caucasian (Indian),17,1,1,1,Other Source,AE,46,30,29,43,31
Mixed Race,19,0,0,1,Test Website,US,33,32,24,30,25
Caucasian (Indian),37,0,0,1,Google,IN,33,42,23,42,16
Mixed Race,23,0,1,1,Test Website,PH,34,36,27,33,20
Mixed Race,21,1,1,1,Google,MY,38,29,24,33,23
Caucasian (European),29,1,0,1,Google,CA,34,31,23,29,23
Caucasian (European),24,1,0,1,Test Website,US,41,24,47,48,26
Mixed Race,16,0,0,1,Test Website,PH,50,30,15,40,10
Mixed Race,17,1,1,0,Test Website,US,40,37,30,28,47
Mixed Race,20,0,1,1,Test Website,IN,36,43,38,38,34
Mixed Race,21,0,1,1,Other Source,MY,32,37,13,31,41
North East Asian,17,0,0,1,Test Website,PH,31,30,41,41,28
Mixed Race,60,0,1,1,Google,US,45,34,41,43,26
Caucasian (Indian),22,0,0,1,Test Website,IN,45,30,36,43,21
Caucasian (European),44,1,1,1,Test Website,US,41,37,22,23,15
Caucasian (European),58,1,0,1,Test Website,US,33,32,38,43,22
Caucasian (European),16,1,0,1,Test Website,US,43,33,29,29,25
Caucasian (European),16,1,1,1,Test Website,NZ,47,35,48,47,35
Caucasian (European),19,1,0,1,Test Website,US,45,30,19,25,20
Caucasian (European),46,0,0,1,Test Website,US,40,31,30,34,28
Mixed Race,21,0,0,1,Google,IN,38,37,39,40,32
Mixed Race,21,0,0,1,Test Website,IN,46,26,22,34,18
Caucasian (European),23,1,0,1,Test Website,US,41,32,34,42,17
Mixed Race,18,1,0,1,Test Website,PH,40,35,36,41,40
Mixed Race,16,0,1,1,Test Website,AU,41,28,28,28,32
Mixed Race,22,0,0,1,Test Website,MY,29,27,36,32,30
Caucasian (European),24,0,0,1,Google,ID,31,29,42,38,45
Caucasian (European),21,1,0,0,Test Website,US,46,49,25,32,19
Mixed Race,39,1,0,2,Test Website,NZ,37,28,19,29,45
Mixed Race,18,0,0,1,Test Website,IN,40,34,44,46,19
Mixed Race,20,0,1,1,Google,ID,34,30,27,36,28
Mixed Race,20,0,1,1,Google,ID,30,32,26,38,27
Mixed Race,47,0,1,1,Test Website,IN,42,48,22,43,28
Mixed Race,17,0,0,1,Test Website,PH,45,43,38,49,39
Caucasian (European),23,0,1,1,Test Website,RO,47,33,32,26,27
Caucasian (European),22,1,0,1,Test Website,US,48,31,32,32,29
Caucasian (European),22,1,1,1,Test Website,US,47,41,28,28,15
Mixed Race,18,1,1,0,Google,PH,46,50,46,50,42
Mixed Race,23,1,1,1,Test Website,AU,37,33,20,30,32
Caucasian (Middle East),27,1,1,1,Test Website,US,37,48,16,22,46
Caucasian (European),37,0,1,1,Test Website,RU,41,29,23,37,36
Caucasian (European),26,1,0,1,Other Source,GB,33,39,39,40,34
Caucasian (European),15,1,1,2,Test Website,GB,42,25,27,35,23
Caucasian (European),27,1,1,1,Test Website,ZA,50,40,36,29,30
Mixed Race,57,1,0,1,Test Website,CA,35,39,18,46,31
Mixed Race,23,0,1,1,Google,IN,33,47,35,38,39
Mixed Race,19,0,0,1,Other Source,ID,28,29,28,33,27
Caucasian (European),15,1,0,0,Google,AU,43,35,25,45,21
Mixed Race,19,0,0,1,Other Source,ID,28,31,30,31,29
Caucasian (European),16,1,1,1,Test Website,GB,47,35,42,38,40
Caucasian (European),23,0,1,1,Test Website,RO,39,35,24,22,25
Mixed Race,17,1,0,1,Google,ZA,48,38,33,36,13
Mixed Race,20,0,1,1,Test Website,HK,18,40,21,24,18
Mixed Race,23,1,0,1,Google,ZA,31,45,29,44,31
Mixed Race,38,0,0,1,Google,CN,46,43,28,45,28
Caucasian (Indian),24,0,0,1,Test Website,IN,42,42,35,31,26
Caucasian (European),21,0,1,1,Test Website,LT,43,29,27,28,31
Caucasian (European),37,1,0,0,Other Source,AU,24,23,14,38,17
Caucasian (Indian),18,0,1,1,Test Website,IN,40,41,39,37,33
Caucasian (Indian),32,0,1,1,Test Website,IN,42,33,40,48,26
Caucasian (European),31,0,0,1,Test Website,US,36,35,22,40,28
Mixed Race,23,1,0,1,Test Website,BH,32,30,24,42,20
Caucasian (European),37,0,0,1,Test Website,IT,22,26,30,26,42
Mixed Race,21,0,1,1,Other Source,ID,31,36,31,35,25
Caucasian (European),20,0,0,1,Test Website,FR,33,26,16,35,24
No Response,17,0,1,1,Google,US,32,21,17,33,15
Caucasian (European),17,1,3,0,Test Website,US,46,29,28,49,20
Mixed Race,43,0,0,1,Test Website,PH,42,50,38,50,49
Caucasian (European),53,1,0,1,Other Source,US,47,42,45,45,40
Mixed Race,30,0,1,1,Google,US,36,44,36,36,34
Mixed Race,15,0,0,1,Test Website,PH,36,28,12,23,18
Caucasian (Indian),20,1,0,1,Test Website,IN,46,33,21,32,18
Mixed Race,23,1,0,1,Test Website,US,32,30,19,34,20
Caucasian (European),54,1,0,1,Test Website,GB,44,12,50,40,29
Caucasian (European),21,1,0,1,Google,AU,34,26,25,33,27
Caucasian (European),33,1,1,1,Test Website,US,47,33,15,19,37
Mixed Race,15,0,0,1,Test Website,AE,23,31,20,34,32
Mixed Race,1995,0,0,1,Google,PH,43,45,23,34,23
Caucasian (European),34,1,0,0,Test Website,GB,46,44,38,43,28
Caucasian (European),30,1,0,1,Google,US,50,44,25,50,34
Mixed Race,18,0,0,1,Test Website,PH,47,30,18,40,26
Caucasian (European),56,1,0,1,Other Source,US,45,34,46,48,41
Caucasian (European),18,1,0,1,Test Website,GB,40,27,22,38,20
Native American,29,1,1,1,Test Website,US,38,42,31,43,34
Caucasian (European),19,1,0,1,Test Website,US,40,33,24,42,24
Caucasian (European),17,1,1,1,Other Source,US,39,21,38,37,44
Caucasian (European),16,1,1,1,Test Website,US,41,23,23,36,24
Caucasian (European),52,1,1,0,Google,US,47,47,27,44,38
Caucasian (Middle East),18,1,0,1,Google,US,34,37,25,43,36
Caucasian (Indian),26,0,1,1,Test Website,IN,39,30,30,33,34
Caucasian (Middle East),21,1,0,1,Test Website,US,40,28,13,16,28
Caucasian (European),28,1,1,1,Test Website,US,41,31,36,42,28
Caucasian (Indian),30,0,0,1,Test Website,IN,37,26,30,34,20
Caucasian (European),17,0,1,1,Test Website,FI,41,39,24,35,35
Mixed Race,16,1,1,1,Google,US,33,34,15,20,20
Caucasian (Indian),23,0,0,1,Test Website,IN,35,32,45,46,18
Caucasian (European),52,1,1,1,Google,CA,48,44,29,38,29
Caucasian (European),57,1,1,1,Test Website,US,39,25,26,43,36
Caucasian (Middle East),26,0,1,1,Test Website,SA,41,32,35,44,29
Mixed Race,21,0,1,1,Google,US,34,18,28,36,19
Caucasian (European),35,1,0,1,Test Website,US,46,48,22,41,40
Caucasian (European),32,1,1,1,Other Source,US,47,48,43,50,45
Mixed Race,18,0,0,1,Test Website,SG,42,43,18,22,42
Mixed Race,18,1,0,1,Test Website,US,29,39,30,34,28
Caucasian (European),21,1,0,1,Test Website,US,32,30,18,38,20
Caucasian (European),19,0,0,1,Test Website,RS,50,37,30,44,23
Caucasian (European),23,1,1,1,Google,AU,33,39,30,34,24
Caucasian (European),47,1,0,1,Test Website,US,43,22,47,47,36
Caucasian (European),24,0,0,1,Test Website,US,43,28,38,37,18
Caucasian (Middle East),21,0,0,1,Google,US,41,50,12,29,43
Caucasian (European),15,1,1,0,Test Website,US,43,32,30,38,34
Caucasian (European),56,1,0,1,Test Website,GB,44,30,27,45,21
Caucasian (European),26,0,0,1,Test Website,NO,33,40,26,44,17
Caucasian (European),32,0,0,1,Other Source,PL,40,36,12,37,12
Caucasian (European),24,0,0,1,Google,SE,44,34,24,39,30
Mixed Race2,20,1,0,1,Google,GB,46,39,35,41,17
Mixed Race,19,0,0,1,Other Source,US,36,46,26,46,33
Caucasian (European),19,1,0,1,Test Website,US,46,30,27,29,21
Mixed Race,35,0,1,1,Test Website,IN,39,31,21,41,19
Caucasian (European),54,1,1,0,Google,US,49,37,33,25,49
Caucasian (European),20,0,1,1,Test Website,IT,37,39,27,25,36
Caucasian (European),18,0,0,1,Test Website,FR,43,36,18,31,17
Mixed Race,14,1,0,1,Google,US,31,23,11,29,12
Caucasian (European),18,1,1,0,Test Website,US,45,25,32,30,20
Caucasian (Indian),20,0,0,1,Test Website,IN,38,28,29,42,22
Mixed Race,31,0,0,1,Test Website,IN,36,32,19,46,25
Mixed Race,16,0,0,0,Test Website,SE,31,25,20,36,16
Caucasian (European),16,0,0,1,Test Website,FR,27,25,18,32,13
Caucasian (European),24,1,1,0,Google,US,42,39,17,45,23
Caucasian (European),42,1,1,0,Test Website,US,48,50,21,18,43
Mixed Race,55,1,1,1,Test Website,US,43,49,50,46,48
Mixed Race,18,0,3,1,Test Website,MX,49,32,23,23,29
Caucasian (European),22,0,0,1,Test Website,DE,42,25,26,43,21
Caucasian (European),19,0,0,1,Test Website,ME,37,36,21,22,36
Caucasian (European),54,1,1,1,Test Website,US,42,40,25,41,40
Caucasian (Indian),29,1,1,1,Test Website,US,42,28,20,37,44
Caucasian (European),68,1,1,0,Test Website,BZ,38,44,13,42,38
Caucasian (European),16,1,0,2,Google,GB,34,26,15,40,26
Caucasian (Indian),16,0,0,1,Test Website,IN,40,41,28,33,36
Caucasian (European),15,1,0,1,Test Website,ES,34,19,34,38,38
Mixed Race,20,1,0,1,Google,US,46,44,28,38,36
Caucasian (European),36,0,0,1,Test Website,PT,46,43,45,47,39
Caucasian (European),25,0,1,2,Test Website,GB,47,40,40,22,38
No Response,56,1,0,1,Test Website,US,28,30,10,30,13
Caucasian (European),41,1,0,0,Google,AU,50,11,50,45,18
Caucasian (Middle East),19,0,0,1,Test Website,AE,23,27,33,40,31
Caucasian (European),38,1,1,1,Test Website,GB,38,31,30,41,35
Caucasian (European),28,0,0,1,Other Source,NO,42,22,47,39,39
Caucasian (European),19,1,0,1,Test Website,US,50,34,17,41,31
Caucasian (European),18,1,1,1,Test Website,CA,45,20,15,32,20
Mixed Race2,26,1,1,1,Test Website,US,39,38,28,40,46
Caucasian (European),23,0,1,0,Test Website,SI,27,28,10,27,19
Caucasian (Indian),18,1,0,1,Test Website,US,45,27,10,44,16
Caucasian (European),20,0,0,1,Other Source,CZ,31,26,26,32,21
Caucasian (European),28,0,1,1,Test Website,DE,42,43,25,43,28
No Response,38,1,0,1,Test Website,US,31,37,34,38,28
Caucasian (European),70,1,0,0,Google,US,45,31,34,38,37
Caucasian (European),38,1,1,1,Test Website,GB,45,29,27,38,24
Caucasian (European),16,1,0,1,Test Website,US,43,28,12,38,21
Mixed Race,38,1,0,2,Google,AU,46,22,41,34,28
Caucasian (European),20,1,1,1,Test Website,LT,45,38,38,41,45
Caucasian (European),24,1,1,1,Google,US,37,28,34,42,26
Caucasian (European),18,1,1,1,Test Website,US,48,20,47,41,29
North East Asian,18,1,0,1,Test Website,US,31,23,25,36,30
Caucasian (European),39,0,0,1,Test Website,CH,48,36,42,48,29
Caucasian (European),15,1,1,1,Google,US,50,32,42,38,44
Caucasian (European),36,1,1,1,Google,(nu,40,32,33,42,30
Caucasian (European),33,1,0,1,Other Source,AU,45,29,34,42,35
Caucasian (European),23,0,0,1,Other Source,CA,43,33,46,43,40
Caucasian (European),46,1,0,1,Test Website,US,38,25,40,31,18
No Response,30,1,1,1,Test Website,US,44,39,25,37,30
Caucasian (Middle East),24,0,0,1,Other Source,AU,31,28,46,46,42
Caucasian (European),19,1,0,1,Google,US,46,42,28,43,40
Mixed Race,34,0,1,1,Google,US,44,39,30,32,29
Caucasian (European),27,1,1,1,Test Website,US,38,42,27,34,39
Caucasian (European),50,1,0,1,Test Website,US,47,24,40,42,16
Caucasian (European),76,1,1,1,Test Website,US,39,29,13,32,33
Caucasian (European),59,1,0,1,Test Website,US,46,34,35,40,29
Caucasian (European),24,0,0,1,Other Source,US,26,23,37,37,41
Caucasian (European),37,1,1,1,Test Website,AU,35,33,18,34,22
Caucasian (European),44,1,0,1,Test Website,US,27,38,28,33,23
Caucasian (European),28,1,0,1,Test Website,US,45,29,41,46,28
Mixed Race,55,1,0,1,Google,US,48,29,32,41,35
Caucasian (North African),20,1,0,0,Google,NZ,38,28,14,44,23
No Response,45,1,0,1,Test Website,US,37,24,25,36,28
Mixed Race,52,1,0,1,Google,NZ,39,45,42,45,32
Mixed Race,13,1,0,1,Test Website,US,43,29,20,46,35
Caucasian (Indian),19,0,1,2,Test Website,CA,44,38,30,30,48
Caucasian (Middle East),16,1,0,1,Test Website,CA,29,24,30,37,32
Caucasian (European),16,1,1,1,Test Website,US,37,25,25,40,23
Caucasian (European),21,1,1,2,Test Website,US,47,44,13,18,43
Native American,23,1,0,1,Other Source,US,45,27,35,44,43
Caucasian (European),16,1,1,1,Test Website,US,37,33,26,40,26
Caucasian (European),15,1,1,1,Test Website,GB,30,33,17,15,24
Mixed Race,22,1,1,1,Test Website,US,49,27,31,36,16
Mixed Race,20,1,1,0,Facebook,US,45,34,48,41,47
Caucasian (European),18,1,0,1,Test Website,US,45,20,20,38,28
Caucasian (Indian),25,0,1,1,Test Website,LK,43,45,35,42,40
Mixed Race,20,0,0,1,Test Website,MY,33,25,12,23,11
Mixed Race,18,0,0,1,Test Website,PH,32,38,17,35,20
Caucasian (European),52,1,0,1,Test Website,US,45,41,29,46,33
Caucasian (Indian),22,0,1,1,Test Website,IN,33,25,23,32,21
Caucasian (European),63,1,0,1,Test Website,US,49,37,34,38,31
Caucasian (European),19,1,0,1,Test Website,US,41,31,32,37,21
Caucasian (European),23,1,3,1,Test Website,CA,46,26,22,45,14
Mixed Race,51,0,0,1,Test Website,US,43,50,10,34,33
Caucasian (European),20,1,0,0,Other Source,US,48,22,28,47,29
Mixed Race,16,0,1,0,Test Website,PH,40,46,25,45,28
Native American,17,0,0,0,Test Website,AR,39,22,25,37,20
Caucasian (Indian),15,1,0,1,Test Website,IN,35,31,27,34,14
Mixed Race,50,1,0,1,Test Website,AU,45,36,32,46,36
Caucasian (European),65,1,0,1,Test Website,AU,50,28,42,49,35
Mixed Race,28,0,0,1,Test Website,US,45,45,44,50,46
Mixed Race,54,0,1,1,Test Website,US,45,37,36,33,45
Caucasian (Middle East),29,0,0,1,Google,EG,31,35,18,35,14
Caucasian (European),55,1,0,1,Google,AU,49,37,42,47,38
Caucasian (Middle East),28,0,1,1,Test Website,ZA,39,37,38,27,21
Caucasian (European),17,1,1,0,Test Website,US,44,16,22,33,26
Mixed Race,24,0,0,1,Google,TH,39,34,37,40,40
Caucasian (European),18,1,1,1,Test Website,US,39,27,30,44,24
Native American,19,1,0,1,Test Website,CA,40,29,24,29,31
Mixed Race,20,1,0,1,Test Website,US,44,35,25,34,23
Mixed Race,23,0,0,1,Test Website,IN,35,37,37,38,28
Caucasian (European),17,1,0,2,Test Website,US,49,45,40,48,25
Mixed Race,21,0,0,1,Other Source,US,47,32,31,27,10
Mixed Race,22,0,0,0,Google,PK,44,30,46,45,22
Mixed Race,1994,0,1,1,Other Source,ID,31,22,18,25,14
North East Asian,20,0,0,1,Google,ID,39,35,24,41,23
Caucasian (Indian),22,0,0,1,Test Website,IN,45,16,33,39,31
Mixed Race,15,1,1,1,Test Website,PH,26,29,25,34,33
Caucasian (European),18,1,0,1,Test Website,US,45,37,10,38,23
Caucasian (Indian),21,0,1,1,Test Website,IN,40,49,43,37,41
Caucasian (European),17,0,0,1,Test Website,FR,34,30,21,29,23
Mixed RaceNo Response,18,0,0,0,Test Website,PH,37,33,22,40,31
Mixed Race,14,0,0,1,Other Source,PH,38,28,23,38,13
Mixed Race,17,0,0,1,Test Website,IN,45,26,26,39,29
Caucasian (European),16,1,0,1,Test Website,NZ,41,35,34,35,22
Caucasian (Indian),21,0,0,1,Google,IN,29,36,26,39,22
Caucasian (European),22,1,0,1,Test Website,NZ,38,22,44,50,43
Caucasian (European),24,1,0,1,Google,US,36,35,25,43,32
Mixed Race,21,1,0,1,Google,MY,35,36,17,39,36
Caucasian (Indian),14,0,0,1,Test Website,AU,32,35,14,35,17
Mixed Race,27,0,1,1,Google,SG,38,44,27,41,25
Caucasian (Indian),19,0,0,1,Test Website,IN,46,46,34,39,28
Caucasian (European),21,0,0,1,Google,RO,41,43,34,43,33
Caucasian (European),19,0,0,1,Google,HU,45,26,26,43,28
Caucasian (European),17,0,0,1,Test Website,PL,33,29,30,29,26
Mixed Race,51,1,0,1,Test Website,US,42,34,16,20,26
Mixed Race,21,0,1,1,Google,PK,36,37,39,39,31
Caucasian (European),17,1,0,1,Other Source,GB,33,22,21,40,24
Caucasian (European),34,1,1,1,Other Source,CA,20,25,38,29,32
North East Asian,17,0,0,1,Test Website,PH,48,44,29,44,31
Caucasian (Indian),36,0,1,1,Test Website,PK,35,43,15,35,28
Caucasian (European),25,1,0,1,Google,GB,39,32,25,41,31
Caucasian (European),18,0,0,1,Test Website,RS,43,24,41,27,34
North East Asian,21,0,0,1,Test Website,JP,34,22,39,37,13
Mixed Race,38,1,0,1,Google,SG,39,37,21,45,37
Caucasian (European),58,1,0,1,Test Website,GB,39,27,40,48,29
Caucasian (European),17,1,1,1,.edu website,SG,34,24,24,32,24
Caucasian (European),40,0,1,1,Google,(nu,45,21,27,36,15
Caucasian (European),21,1,0,1,Test Website,TR,40,26,24,46,31
Caucasian (European),26,0,0,1,Test Website,GR,30,40,36,44,34
Mixed Race,22,0,0,0,Google,PK,38,32,34,37,25
Caucasian (European),30,0,1,1,Test Website,GR,45,45,24,41,15
Mixed Race,18,1,0,1,Google,(nu,36,34,44,41,30
Mixed Race,63,0,1,1,Test Website,(nu,32,26,22,32,23
Caucasian (European),17,1,0,1,Other Source,(nu,26,39,27,41,36
Mixed Race,18,0,0,1,Test Website,(nu,30,34,26,22,14
Caucasian (European),17,1,0,1,Test Website,(nu,40,21,26,35,28
Mixed Race,18,0,0,1,Other Source,(nu,42,46,30,42,30
Caucasian (European),17,1,0,1,Facebook,(nu,26,38,28,45,40
Caucasian (European),17,1,1,1,.edu website,(nu,30,28,24,47,24
Caucasian (European),68,0,1,1,Google,(nu,50,31,23,45,49
Mixed Race,35,0,0,1,Test Website,(nu,35,32,24,38,26
Mixed Race,62,1,0,1,Test Website,(nu,26,30,10,42,34
Mixed Race,17,0,0,1,Test Website,(nu,31,25,42,45,18
Mixed Race,36,0,1,1,Test Website,(nu,43,38,20,14,36
Caucasian (Indian),17,0,0,1,Test Website,(nu,34,34,31,40,43
Caucasian (European),27,1,0,1,Other Source,(nu,42,36,28,39,34
Caucasian (European),36,0,1,0,Test Website,(nu,37,26,36,36,22
Mixed Race,18,0,0,1,Test Website,(nu,36,40,21,31,21
Caucasian (Middle East),32,0,0,1,Test Website,(nu,37,45,28,43,27
Mixed Race,20,1,0,1,Other Source,(nu,43,27,38,36,33
Caucasian (North African),40,1,1,1,Test Website,(nu,45,39,39,37,36
North East Asian,22,0,0,1,Google,(nu,38,50,36,50,26
Caucasian (Indian),14,0,0,0,Test Website,(nu,28,39,18,36,33
Caucasian (European),17,1,0,1,Other Source,(nu,28,32,23,28,29
Caucasian (European),52,0,1,1,Google,(nu,42,41,25,40,32
Caucasian (European),16,1,0,1,Test Website,(nu,48,26,41,38,26
Caucasian (Indian),33,0,1,1,Other Source,(nu,36,36,14,30,43
Caucasian (European),30,1,0,1,Test Website,(nu,35,29,18,37,11
Caucasian (European),29,0,1,1,Test Website,(nu,39,33,25,39,23
Caucasian (European),27,1,0,1,Test Website,(nu,50,36,27,41,18
Mixed Race,20,0,0,1,Test Website,(nu,32,32,19,35,32
Caucasian (Indian),23,0,1,1,Other Source,(nu,27,25,31,38,23
Caucasian (European),17,1,0,1,Test Website,(nu,34,23,15,42,29
Caucasian (Indian),25,0,1,1,Test Website,(nu,32,27,25,35,20
No Response,32,1,0,1,Google,(nu,39,47,24,30,26
Caucasian (Indian),37,0,1,1,Test Website,(nu,36,35,26,42,22
Caucasian (European),31,1,0,1,Other Source,(nu,41,48,48,46,45
Caucasian (European),33,0,1,1,Other Source,(nu,48,23,40,47,17
Mixed Race,20,0,1,1,Test Website,(nu,34,22,31,40,26
Mixed Race,25,1,0,1,Google,(nu,40,30,42,40,25
Mixed Race,19,0,0,1,Test Website,(nu,46,32,30,37,19
Caucasian (European),44,1,0,1,Google,(nu,47,20,46,48,33
Caucasian (Indian),36,1,1,1,Test Website,(nu,48,38,16,19,32
Mixed Race,27,1,0,1,Google,(nu,45,38,32,39,28
Caucasian (European),59,1,0,1,Google,(nu,33,38,37,40,37
Mixed Race,25,0,0,1,Google,(nu,32,45,26,39,23
Mixed Race,14,0,0,2,Test Website,(nu,48,24,20,23,14
Caucasian (European),19,0,0,1,Test Website,(nu,39,22,35,40,22
Caucasian (European),48,1,1,1,Test Website,(nu,44,39,33,24,30
Caucasian (European),49,1,1,1,Test Website,(nu,43,35,47,50,38
Caucasian (European),22,1,1,0,Test Website,(nu,40,39,27,43,41
Mixed Race,21,1,1,1,Google,(nu,38,40,38,40,39
Caucasian (European),22,1,0,1,Test Website,(nu,37,29,22,39,15
Caucasian (European),27,1,1,0,Test Website,(nu,41,27,11,21,31
Mixed Race,16,0,0,1,Test Website,(nu,33,26,31,36,25
Caucasian (European),40,1,0,1,Test Website,(nu,36,36,40,42,27
Caucasian (European),25,1,1,1,Test Website,(nu,29,37,10,41,30
Caucasian (European),16,1,0,1,Test Website,(nu,44,38,38,46,31
Mixed Race,28,1,1,1,Test Website,(nu,36,31,34,40,32
Caucasian (European),28,0,1,1,Test Website,(nu,31,26,22,44,26
Caucasian (Indian),29,0,1,1,Test Website,(nu,38,29,32,38,28
Caucasian (European),23,1,0,1,Test Website,(nu,41,34,30,31,29
Mixed Race,39,1,1,1,Test Website,(nu,37,35,29,37,26
Caucasian (European),20,1,1,1,Test Website,(nu,39,35,20,37,26
Caucasian (European),17,1,0,1,Test Website,(nu,39,30,27,45,23
Mixed Race,18,1,1,1,Test Website,(nu,46,32,31,44,29
Caucasian (European),27,0,0,1,Facebook,(nu,43,39,38,42,35
Caucasian (European),13,1,0,1,Test Website,(nu,37,26,43,35,26
Caucasian (European),49,1,0,1,Other Source,(nu,45,21,17,29,27
Caucasian (European),50,1,0,1,Test Website,(nu,42,36,38,36,35
Caucasian (European),16,1,1,1,Other Source,(nu,50,24,32,41,11
Mixed Race,25,0,0,1,Test Website,(nu,30,29,27,34,20
Caucasian (Indian),19,0,0,1,Test Website,(nu,43,31,39,45,21
Caucasian (European),50,1,1,1,Test Website,(nu,45,30,48,50,24
Caucasian (European),19,1,0,1,Other Source,(nu,47,36,29,33,30
Caucasian (Indian),26,0,0,1,Test Website,(nu,40,44,27,43,25
Caucasian (European),16,1,0,2,Test Website,(nu,46,41,14,35,32
Mixed Race,57,0,0,1,Other Source,(nu,43,38,27,33,32
Caucasian (European),42,1,0,1,Google,(nu,43,42,24,36,30
Mixed Race,19,1,1,1,Test Website,(nu,32,24,25,28,23
Mixed Race,16,1,1,1,Test Website,(nu,45,32,35,39,35
Caucasian (European),20,0,1,1,Google,(nu,45,42,36,44,40
Mixed Race,38,1,0,1,Google,(nu,44,44,37,41,39
Caucasian (European),44,0,1,1,Google,(nu,35,37,27,38,37
Caucasian (European),63,1,1,1,Test Website,(nu,45,33,26,30,20
Caucasian (Indian),19,0,1,1,Test Website,(nu,45,49,37,42,41
Mixed Race,23,0,1,2,Google,(nu,30,30,30,30,30
Caucasian (European),34,0,1,1,Test Website,(nu,43,32,15,37,12
Caucasian (European),31,1,1,1,Google,(nu,47,18,27,31,25
Caucasian (Indian),23,0,1,1,Test Website,(nu,47,22,46,41,11
Mixed Race,13,1,1,1,Test Website,(nu,49,26,42,44,15
Mixed Race,21,0,1,1,Google,(nu,41,35,28,38,15
Mixed Race,39,0,0,1,Other Source,(nu,31,48,19,48,13
